id	corpus	emotion	domain
311	@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.	anger	twitter
6854	If ydu yell 'fire' in a crowded theater you will burst into flames. It's a cool trick, bu: only once.	anger	twitter
1416	@CSNHayes understandable. Hard when he has zero offense behind him, and only a few wins since the All-Star Break.	anger	twitter
7002	@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate	anger	twitter
7097	We're going to get City in the next round for a revenge.	anger	twitter
1189	@loueezecee I don't know how much more of that bloody pout I can take!!	anger	twitter
1640	The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some	anger	twitter
64	Boycotting @DunkinDonuts till butter pecan comes back. I am furious	anger	twitter
1337	i'll get my revenge soon	anger	twitter
1570	Blood is boiling	anger	twitter
1618	@dreamsandpocky Like, despite all my irritation towards ur ship, at least its canon. BuckyNat is canon, (and clintwanda is canon)	anger	twitter
1500	@politicalTigres @Saifullah_Uchvi welcome ji . sorry for words that irritate u	anger	twitter
1353	@TheAlexValle Tio Valle, please! WNF grudge match @Anti with Low Tier God!!!	anger	twitter
1479	@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics. #offended	anger	twitter
1415	I'm furious!!!!	anger	twitter
721	When anger rises, think of the consequences. #quote #wisdom 	anger	twitter
314	@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!	anger	twitter
964	@crystaldiamondo impossible to say. We can only hope that I don’t unwittingly trigger her ferocious side again. Hell hath no fury..	anger	twitter
709	@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :))	anger	twitter
1390	I'd rather dump gasoline all over myself and run into a burning building than use Excel.	anger	twitter
7080	@Claymakerbigsi @toghar11 @scott_mulligan_ @BoxingFanatic_ Fucker blocked me 2 years ago over a question lol - proper holds a grudge old Joe	anger	twitter
1481	Glad I didn't watch smackdown because I can't see my men @JasonJordanJJ @WWEGable lose. #sohurt #revenge	anger	twitter
494	@kitanoye Hell is hot and boiling, isi ewu	anger	twitter
1200	@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.)	anger	twitter
7000	luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick	anger	twitter
945	@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser	anger	twitter
