id	corpus	emotion	domain
28	Occasionally melodramatic , it 's also extremely effective .	joy	moviereview
62	Singer/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	joy	moviereview
129	Digital-video documentary about stand-up comedians is a great glimpse into a very different world .	joy	moviereview
131	An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .	joy	moviereview
147	It 's a great deal of sizzle and very little steak .	disgust	moviereview
183	Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .	noemotion	moviereview
193	It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .	joy	moviereview
197	A very funny movie .	joy	moviereview
205	Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .	joy	moviereview
213	She must have a very strong back .	surprise	moviereview
235	Daring , mesmerizing and exceedingly hard to forget .	joy	moviereview
261	Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .	surprise	moviereview
293	Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .	joy	moviereview
332	But based on CQ , I 'll certainly be keeping an eye out for his next project .	anticipation	moviereview
347	While this film is not in the least surprising , it is still ultimately very satisfying .	joy	moviereview
406	Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .	joy	moviereview
419	A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .	joy	moviereview
432	Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .	sadness	moviereview
443	Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .	disgust	moviereview
501	Fisher has bared his soul and confronted his own shortcomings here in a way ... that feels very human and very true to life .	joy	moviereview
514	Although very much like the first movie based on J.K. Rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .	joy	moviereview
534	This is a very fine movie -- go see it .	joy	moviereview
639	an exceedingly clever piece of cinema .	joy	moviereview
644	very solid , very watchable first feature for director Peter Sheridan	joy	moviereview
676	-LRB- A -RRB- Hollywood sheen bedevils the film from the very beginning ... -LRB- but -RRB- Lohman 's moist , deeply emotional eyes shine through this bogus veneer ...	disgust	moviereview
702	A very funny look at how another culture handles the process of courting and marriage .	joy	moviereview
705	Their computer-animated faces are very expressive .	joy	moviereview
711	Sam Jones became a very lucky filmmaker the day Wilco got dropped from their record label , proving that one man 's ruin may be another 's fortune .	surprise	moviereview
737	Makes S&M seem very romantic , and Maggie Gyllenhaal is a delight .	joy	moviereview
739	Although Life or Something Like It is very much in the mold of feel-good movies , the cast and director Stephen Herek 's polished direction pour delightfully piquant wine from aged bottles .	joy	moviereview
813	Though the film 's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare .	joy	moviereview
862	The movie is well shot and very tragic , and one to ponder after the credits roll .	sadness	moviereview
870	The film is all a little Lit Crit 101 , but it 's extremely well played and often very funny .	joy	moviereview
873	It 's absolutely spooky how Lillard channels the Shagster right down to the original Casey Kasem-furnished voice .	fear	moviereview
887	Occasionally funny , always very colorful and enjoyably overblown in the traditional Almod var style .	joy	moviereview
899	A worthy entry into a very difficult genre .	joy	moviereview
1046	Cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing .	joy	moviereview
1084	If the ' 70 's were your idea of a good time at the movies , this will make you very happy .	joy	moviereview
1138	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .	joy	moviereview
1158	-LRB- T -RRB- his beguiling Belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why .	joy	moviereview
1218	The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .	joy	moviereview
1256	If your taste runs to ` difficult ' films you absolutely ca n't miss it .	joy	moviereview
1264	On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	joy	moviereview
1335	Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .	joy	moviereview
1356	Good film , but very glum .	sadness	moviereview
1408	Overall very good for what it 's trying to do .	joy	moviereview
1444	Mr. Tsai is a very original artist in his medium , and What Time Is It There ?	joy	moviereview
1445	should be seen at the very least for its spasms of absurdist humor .	joy	moviereview
1449	The characters are interesting and often very creatively constructed from figure to backstory .	joy	moviereview
1455	MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .	joy	moviereview
1637	A very well-made , funny and entertaining picture .	joy	moviereview
1729	While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .	joy	moviereview
1748	Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .	joy	moviereview
1759	... very funny , very enjoyable ...	joy	moviereview
1862	A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .	joy	moviereview
1933	Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .	joy	moviereview
