id	corpus	emotion	domain
45	The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .	disgust	moviereview
72	Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start .	sadness	moviereview
103	In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .	noemotion	moviereview
242	Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .	joy	moviereview
247	Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .	joy	moviereview
347	While this film is not in the least surprising , it is still ultimately very satisfying .	joy	moviereview
363	Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .	joy	moviereview
387	If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .	disgust	moviereview
473	The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .	noemotion	moviereview
523	One scarcely needs the subtitles to enjoy this colorful action farce .	joy	moviereview
526	One of -LRB- Herzog 's -RRB- least inspired works .	disgust	moviereview
579	A teasing drama whose relentless good-deed/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .	joy	moviereview
624	Time Changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets	surprise	moviereview
625	`` The Emperor 's New Clothes '' begins with a simple plan ... Well , at least that 's the plan .	anticipation	moviereview
650	Though the violence is far less sadistic than usual , the film is typical Miike : fast , furious and full of off-the-cuff imaginative flourishes .	joy	moviereview
728	The film benefits greatly from a less manic tone than its predecessor , as Cho appears to have settled comfortably into her skin .	joy	moviereview
748	Just another fish-out-of-water story that barely stays afloat .	disgust	moviereview
789	At nearly three hours , the whole of Safe Conduct is less than the sum of its parts .	noemotion	moviereview
819	The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .	surprise	moviereview
882	It 's endearing to hear Madame D. refer to her husband as ` Jackie ' -- and he does make for excellent company , not least as a self-conscious performer .	joy	moviereview
895	If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .	noemotion	moviereview
902	A sweet-natured reconsideration of one of San Francisco 's most vital , if least widely recognized , creative fountainheads .	joy	moviereview
1270	The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .	joy	moviereview
1391	This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer 's Star Trek VI : The Undiscovered Country .	joy	moviereview
1420	CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .	joy	moviereview
1445	should be seen at the very least for its spasms of absurdist humor .	joy	moviereview
1594	While its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .	joy	moviereview
2082	Alain Choquart 's camera barely stops moving , portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .	disgust	moviereview
2096	A perfectly pleasant if slightly pokey comedy .	joy	moviereview
2097	Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .	joy	moviereview
2119	This time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part .	joy	moviereview
2168	Keenly observed and refreshingly natural , Swimming gets the details right , from its promenade of barely clad bodies in Myrtle Beach , S.C. , to the adrenaline jolt of a sudden lunch rush at the diner .	joy	moviereview
2267	Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .	joy	moviereview
2342	Red Dragon is less baroque and showy than Hannibal , and less emotionally affecting than Silence .	surprise	moviereview
2369	The results , if not memorable , are at least interesting .	noemotion	moviereview
2372	I 'm sure mainstream audiences will be baffled , but , for those with at least a minimal appreciation of Woolf and Clarissa Dalloway , The Hours represents two of those well spent .	joy	moviereview
2377	Watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown .	joy	moviereview
2486	Ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of Chinese ` cultural revolution . '	other	moviereview
2489	Most consumers of lo mein and General Tso 's chicken barely give a thought to the folks who prepare and deliver it , so , hopefully , this film will attach a human face to all those little steaming cartons .	anticipation	moviereview
2551	This odd , distant Portuguese import more or less borrows from Bad Lieutenant and Les Vampires , and comes up with a kind of art-house gay porn film .	disgust	moviereview
2554	It 's soulful and unslick , and that 's apparently just what -LRB- Aniston -RRB- has always needed to grow into a movie career .	joy	moviereview
2602	Until it goes off the rails in its final 10 or 15 minutes , Wendigo , Larry Fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .	joy	moviereview
2605	A whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish .	joy	moviereview
2651	Though intrepid in exploring an attraction that crosses sexual identity , Ozpetek falls short in showing us Antonia 's true emotions ... But at the very least , His Secret Life will leave you thinking .	joy	moviereview
2655	The otherwise good-naturedness of Mr. Deeds , with its embrace of sheer goofiness and cameos of less - than-likely New York celebrities ... certainly raises the film above anything Sandler 's been attached to before .	joy	moviereview
2706	The stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .	surprise	moviereview
2745	An average kid-empowerment fantasy with slightly above-average brains .	surprise	moviereview
2783	A wild ride juiced with enough energy and excitement for at least three films .	joy	moviereview
2838	Murderous Maids has a lot going for it , not least the brilliant performances by Testud ... and Parmentier .	joy	moviereview
2894	It may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case .	joy	moviereview
2912	But though he only scratches the surface , at least he provides a strong itch to explore more .	joy	moviereview
2937	While not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .	joy	moviereview
2949	If you 're paying attention , the `` big twists '' are pretty easy to guess - but that does n't make the movie any less entertaining .	joy	moviereview
3064	In Auteil 's less dramatic but equally incisive performance , he 's a charismatic charmer likely to seduce and conquer .	joy	moviereview
3132	smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - Broadway play .	joy	moviereview
3176	While the now 72-year-old Robert Evans been slowed down by a stroke , he has at least one more story to tell : his own .	noemotion	moviereview
3234	Tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .	joy	moviereview
3243	For those of an indulgent , slightly sunbaked and summery mind , Sex and Lucia may well prove diverting enough .	joy	moviereview
3286	It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .	disgust	moviereview
3306	While somewhat less than it might have been , the film is a good one , and you 've got to hand it to director George Clooney for biting off such a big job the first time out .	joy	moviereview
3348	With Freeman and Judd , I 'll at least remember their characters .	joy	moviereview
3357	I do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .	joy	moviereview
3419	None of his actors stand out , but that 's less of a problem here than it would be in another film : Characterization matters less than atmosphere .	surprise	moviereview
3464	... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .	disgust	moviereview
3480	Heartwarming here relies less on forced air than on Petter Nss ' delicate , clever direction ... and a wonderful , imaginative script by Axel Hellstenius .	joy	moviereview
3514	Rouge is less about a superficial midlife crisis than it is about the need to stay in touch with your own skin , at 18 or 80 .	noemotion	moviereview
3571	This is an extraordinary film , not least because it is Japanese and yet feels universal .	joy	moviereview
3614	The movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .	joy	moviereview
3694	Its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story .	joy	moviereview
3729	More intimate than spectacular , E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .	joy	moviereview
3753	There are n't too many films that can be as simultaneously funny , offbeat and heartwarming -LRB- without a thick shmear of the goo , at least -RRB- , but `` Elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases .	joy	moviereview
3754	Reign of Fire is hardly the most original fantasy film ever made -- beyond Road Warrior , it owes enormous debts to Aliens and every previous dragon drama -- but that barely makes it any less entertaining .	joy	moviereview
3790	It 's not like having a real film of Nijinsky , but at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered .	noemotion	moviereview
3839	I do n't know if Frailty will turn Bill Paxton into an A-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie .	joy	moviereview
4008	The film reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding -- with better characters , some genuine quirkiness and at least a measure of style .	joy	moviereview
4113	It lets you brush up against the humanity of a psycho , without making him any less psycho .	joy	moviereview
4150	The result is somewhat satisfying -- it still comes from Spielberg , who has never made anything that was n't at least watchable .	joy	moviereview
4187	Even though many of these guys are less than adorable -LRB- their lamentations are pretty much self-centered -RRB- , there 's something vital about the movie .	joy	moviereview
4255	Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .	disgust	moviereview
4289	Using an endearing cast , writer/director Dover Kosashvili takes a slightly dark look at relationships , both sexual and kindred .	joy	moviereview
4347	Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	joy	moviereview
4371	Ali 's graduation from little screen to big is far less painful than his opening scene encounter with an over-amorous terrier .	disgust	moviereview
4412	Delivers roughly equal amounts of beautiful movement and inside information .	joy	moviereview
