id	corpus	emotion	domain
3	The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	joy	moviereview
6	Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .	surprise	moviereview
9	Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .	sadness	moviereview
38	Though everything might be literate and smart , it never took off and always seemed static .	disgust	moviereview
41	Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .	joy	moviereview
51	A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .	joy	moviereview
65	Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	joy	moviereview
84	If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .	anticipation	moviereview
102	If nothing else , this movie introduces a promising , unusual kind of psychological horror .	anticipation	moviereview
116	The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm	joy	moviereview
124	This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .	surprise	moviereview
139	Run , do n't walk , to see this barbed and bracing comedy on the big screen .	joy	moviereview
140	A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .	joy	moviereview
143	It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .	noemotion	moviereview
154	If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .	noemotion	moviereview
158	Like Mike does n't win any points for originality .	disgust	moviereview
160	It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .	joy	moviereview
163	Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .	joy	moviereview
164	Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .	joy	moviereview
170	Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .	disgust	moviereview
176	"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are ."	joy	moviereview
177	Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .	joy	moviereview
183	Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .	noemotion	moviereview
194	Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .	disgust	moviereview
202	Those outside show business will enjoy a close look at people they do n't really want to know .	noemotion	moviereview
205	Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .	joy	moviereview
212	My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .	joy	moviereview
