id	corpus	emotion	domain
10717	Enough is not a bad movie , just mediocre .	sadness	moviereview
9354	Everything in Maid in Manhattan is exceedingly pleasant , designed not to offend .	joy	moviereview
2847	Sean Penn , you owe Nicolas Cage an apology .	anger	moviereview
331	Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .	sadness	moviereview
993	Francophiles will snicker knowingly and you 'll want to slap them .	anger	moviereview
1981	If Ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing .	joy	moviereview
1577	Instead , he shows them the respect they are due .	joy	moviereview
4722	`` Frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .	fear	moviereview
4222	Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .	joy	moviereview
4151	But it 's also disappointing to a certain degree .	sadness	moviereview
3039	A movie that will wear you out and make you misty even when you do n't want to be .	sadness	moviereview
2903	this film is not a love letter for the slain rappers , it 's a taunt - a call for justice for two crimes from which many of us have not yet recovered .	anger	moviereview
4702	It will break your heart many times over .	sadness	moviereview
7141	Friday After Next is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans .	anger	moviereview
2845	Tsai Ming-liang 's ghosts are painfully aware of their not-being .	sadness	moviereview
5576	That is because - damn it !	anger	moviereview
6866	Gibney and Jarecki just want to string the bastard up .	anger	moviereview
10646	If you saw Benigni 's Pinocchio at a public park , you 'd grab your kids and run and then probably call the police .	fear	moviereview
10042	Stitch is a bad mannered , ugly and destructive little **** .	anger	moviereview
7903	It 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	sadness	moviereview
7599	For all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , Lily Chou-Chou never really builds up a head of emotional steam .	sadness	moviereview
262	The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .	sadness	moviereview
1299	An effectively creepy , fear-inducing -LRB- not fear-reducing -RRB- film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .	fear	moviereview
1993	Rabbit-Proof Fence will probably make you angry .	anger	moviereview
4620	... a great , participatory spectator sport . '	joy	moviereview
9368	` Butterfingered ' is the word for the big-fisted direction of Jez Butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach .	joy	moviereview
2667	It 's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .	joy	moviereview
6340	They were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn .	fear	moviereview
521	Like old myths and wonder tales spun afresh .	joy	moviereview
500	The result is mesmerizing -- filled with menace and squalor .	fear	moviereview
808	` Charly ' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy ...	sadness	moviereview
1382	Creepy , authentic and dark .	fear	moviereview
9503	Qualities that were once amusing are becoming irritating .	anger	moviereview
10674	The title , alone , should scare any sane person away .	fear	moviereview
3934	It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .	fear	moviereview
6581	-- is a crime that should be punishable by chainsaw .	anger	moviereview
4235	Beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images .	fear	moviereview
288	An incendiary , deeply thought-provoking look at one of the most peculiar -LRB- and peculiarly venomous -RRB- bigotries in our increasingly frightening theocracy	fear	moviereview
2642	Schrader aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness .	sadness	moviereview
463	There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .	joy	moviereview
9313	There are moments of real pleasure to be found in Sara Sugarman 's whimsical comedy Very Annie-Mary but not enough to sustain the film .	joy	moviereview
3210	The film grows on you .	joy	moviereview
9757	Run for your lives !	fear	moviereview
2153	Helps to remind the First World that HIV/AIDS is far from being yesterday 's news .	anger	moviereview
31	However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .	sadness	moviereview
4350	The overall result is an intelligent , realistic portrayal of testing boundaries .	joy	moviereview
2583	Bring tissues .	sadness	moviereview
3047	If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	fear	moviereview
8636	I 'd give real money to see the perpetrators of Chicago torn apart by dingoes .	anger	moviereview
1135	The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .	sadness	moviereview
9654	Pretend it 's a werewolf itself by avoiding eye contact and walking slowly away .	fear	moviereview
601	The filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .	fear	moviereview
8041	It 's getting harder and harder to ignore the fact that Hollywood is n't laughing with us , folks .	anger	moviereview
2724	This is a harrowing movie about how parents know where all the buttons are , and how to push them .	fear	moviereview
3421	A rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .	joy	moviereview
9022	The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .	anger	moviereview
1458	It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	fear	moviereview
4025	A completely spooky piece of business that gets under your skin and , some plot blips aside , stays there for the duration .	fear	moviereview
3811	While this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .	sadness	moviereview
1930	The last scenes of the film are anguished , bitter and truthful .	sadness	moviereview
