id;corpus;emotion;domain
6964;I am in such a bad mood and I'm playing the blame game in my head, getting angry at people for things that are really quite trivial.;anger;blog
6927;or convert everyone to Islam, or just blow you up one by one in a fucking plane, train, or automobile.;anger;blog
6831;I asked Phil, what the hell are you doing? and he looked angrily at me. Like I did anything wrong.;anger;blog
5274;Eight years for Damilola killers;anger;newsheadline
6907;Get a fucking clue.;anger;blog
5907;Then she comes up to me and starts yelling at me.;anger;blog
6903;-- is a crime that should be punishable by chainsaw .;anger;moviereview
5786;which is worse than pissing us off.;anger;blog
6120;i freakin hate when you get in a bad mood and its not just one thing.;anger;blog
7023;Work was fucked up.;anger;blog
6995;fucking A.;anger;blog
6956;Sony Hates Europeans, Will Prevent The Importing of PS3;anger;newsheadline
7034;Anger at release of two held over beheading plot;anger;newsheadline
5788;when you annoy us long enough NO ONE WILL CARE ABOUT RESTRAINT.;anger;blog
4939;`` I blame all men for war , '' -LRB- the warden 's daughter -RRB- tells her father .;anger;moviereview
5897;I'm not going to go into specifics here, but it almost always ends up in yelling and tears.;anger;blog
6326;Bitch.;anger;blog
6932;Well, I'm not going to leave you alone.;anger;blog
7010;I'm as mad as hell,.;anger;blog
6955;I'm not going to go into specifics here, but it almost always ends up in yelling and tears.;anger;blog
6891;The turnpike was nuts, every asshole from Jersey and Connecticut was apparently heading to Canada.;anger;blog
6615;It really was his fault though.;anger;blog
5781;couldn't the fucking terrorists decide to get caught, you know, after i landed.;anger;blog
3187;The 1960s rebellion was misdirected : you ca n't fight your culture .;anger;moviereview
5396;Fight starts over HPV vaccine;anger;newsheadline
6889;cuz i hate tryin to prove myself to everyone.;anger;blog
5753;I emailed the seller and told him about it and he was very arrogant and rude.;anger;blog
6899;hey, she assulted me. in the middle of an intersection.;anger;blog
4607;Gibney and Jarecki just want to string the bastard up .;anger;moviereview
6949;those pegs are hard to push back in, especially the E string peg, that was a real bitch.;anger;blog
6736;Go find someone else to be your bitch.;anger;blog
5890;All in all, I'm satisfied with the bigger picture and angry as fuck at the smaller details, but that's what keeps you going, isn't it.;anger;blog
4828;The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .;anger;moviereview
4536;An infuriating film .;anger;moviereview
4936;Stitch is a bad mannered , ugly and destructive little **** .;anger;moviereview
6967;Francophiles will snicker knowingly and you 'll want to slap them .;anger;moviereview
6581;I don't have them and I'm still here.;anger;blog
6310;He's like yeah he would wait a couple of weeks and delete her.;anger;blog
5344;Judge threatens to shut down Air-India inquiry;anger;newsheadline
5376;Frustration rises as North Korea nuclear talks stall;anger;newsheadline
6939;fuck off.;anger;blog
6943;Gibney and Jarecki just want to string the bastard up .;anger;moviereview
5912;I got mad.;anger;blog
7031;And that's total bullshit, because those things shouldn't even matter.;anger;blog
5516;I began pushing for the group to start doing more for themselves and for everyone else that was around them.;anger;blog
6848;then he calls again and, knowing that's the international sign for pick up the frickin' phone, i picked it up thinkin' there was something wrong with him.;anger;blog
6141;I sent the last one that came around off with such a red face, it was a wonder he didn't pass out.;anger;blog
6957;They talked about how it would be nice if some of the appellate judges understood how farms operate when lawsuits against farmers come up.;anger;blog
6833;focuses on Joan 's raging hormones and sledgehammers the audience with Spanish inquisitions about her `` madness '' so much that I became mad that I wasted 123 minutes and $ 9.50 on this 21st century torture device .;anger;moviereview
7013;I can only change my own mind, so whatever efforts I expend have to be met with some sort of equal efforts or the process goes nowhere and frustrates me the entire way.;anger;blog
5233;Israelis retaliate after attack by Lebanese Army;anger;newsheadline
6859;Judge threatens to shut down Air-India inquiry;anger;newsheadline
6046;all my plans were shot to shit cause the cell waves were all packed and i couldn't get in touch with my friends very well.;anger;blog
5945;No, I'm not a stupid chick for those of you that may be wondering.;anger;blog
6651;this fuckers don't go down too easy.;anger;blog
5528;My mother truly wants to murder my father, and then gets pissed off when i don't agree with her.;anger;blog
6323;Argh.;anger;blog
6342;fucking A.;anger;blog
5313;Snow causes transport chaos in Britain;anger;newsheadline
6940;The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .;anger;moviereview
6905;To make a long story short, he told me I must have wanted this ugly old hen to match my personality.;anger;blog
5959;The second reason I was pissed was because not only was my friend is dying from this disease and has had it the entire time that we have been friends, but to my knowledge has not taken the appropriate care of himself that a person with HIV should be taking.;anger;blog
6916;A couple of times Sheldon would say things to him and he would get angry and tell him to shut up.;anger;blog
6694;Especially when it's a bloody government cheque.;anger;blog
6856;im just annoyed.;anger;blog
5424;Lawyer seizes Smith's Bahamas home;anger;newsheadline
6900;Go find someone else to be your bitch.;anger;blog
6877;wowo.;anger;blog
6982;That one chick I dislike with a passion because I think she is obsessed with Gareth and really likes him.;anger;blog
6923;Im rather sick of myspace.;anger;blog
6852;All I know is that first, you've got to get mad.;anger;blog
6938;Lawyer seizes Smith's Bahamas home;anger;newsheadline
5795;He got up and said he doesn't have to take this from us and was especially angry at me. I was a mega bitch to him.;anger;blog
5783;so far, all you've done is to cause international travellers the annoyance of having to hand over their toothpaste and make sure their baby's formula isn't nitroglycerin by drinking some.;anger;blog
6883;As of late, it seems that everything my parents do, they do it just to annoy me. They're great parents.;anger;blog
6169;So I went to take out my 60 dollars, and it said I couldn't take it, because my available funds was limited to 6 dollars.;anger;blog
5261;Congolese soldiers riot, loot over pay issue;anger;newsheadline
7006;What is so wrong about REMEMBERING the weekend.;anger;blog
6862;UGH.;anger;blog
6689;So how the holy fuck did the cave-dwellers get a MOOSE through.;anger;blog
6522;ugh.;anger;blog
